P0 id;Nivel_PowerBI;Nivel_Qlik;Nivel_Tableau;Nivel_Metabase;Nivel_Looker;Nivel_Looker_Studio;Nivel_Amazon_Quicksight;Nivel_Alteryx;Nivel_Grafana;Nivel_Pentaho;Nivel_Excel;Domina_PowerBI;Domina_Qlik;Domina_Tableau;Domina_Metabase;Domina_Looker;Domina_Looker_Studio;Domina_Amazon_Quicksight;Domina_Alteryx;Domina_Grafana;Domina_Pentaho;Domina_Excel;UF;Idade
0jqbuqvb3936balyvfenrstk0jqbuqvb;0,5;0,0;0,0;0,0;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;SC;25-29
0k7l1ljbam6kacmu0k7lno7oaf3xmu2d;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;RJ;25-29
0kgic0bazt3vuk7t0kgisvop2347hvb2;0,5;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;PR;25-29
0kugfu1lh5m23aunu2tn0kugb01gbx3e;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;GO;17-21
0kul7v5qknv9o8qccac0kulrt5fdi7om;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;SP;45-49
0kyn7c4b5p4ud7arfk4000kynyyy82ec;0,5;1,0;0,0;0,0;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0;1;0;0;0;0;0;0;0;0;0;PE;30-34
0kz3y2ky2wx4fmkhadp0kz3y8y7jrl32;0,5;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0;0;0;0;0;0;0;0;0;0;0;RJ;22-24
0lv0ldegkx1i8xxmet0lvfewlljsvem0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;GO;25-29
0lw4azzxw5hfcsb86ack0lw4azz8myxk;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;SP;35-39
0m9ykattn3c24ri42vxg0m9ykam9lb6n;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;30-34
0mnxtpoxm1cp3wctf9bp0m6esr5ydpkh;0,0;0,0;0,5;0,0;0,5;0,5;0,0;0,0;0,0;0,0;0,5;0;0;0;0;0;0;0;0;0;0;0;SP;22-24
0mp2dsmps10vyxahto0mp2ddj4kdfc2s;1,0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;22-24
0nqzg51pf95l5p55kx0nqznnxpxb3upo;1,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;35-39
0nzwxa69m49bv180hk4fhb0nzwxaznfv;0,0;0,0;1,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0;0;1;0;0;0;0;0;0;0;0;CE;25-29
